diagnostics_Versions_PyRadiomics,v3.0.1
diagnostics_Versions_Numpy,1.21.4
diagnostics_Versions_SimpleITK,2.1.1
diagnostics_Versions_PyWavelet,1.2.0
diagnostics_Versions_Python,3.9.9
diagnostics_Configuration_Settings,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}"
diagnostics_Configuration_EnabledImageTypes,{'Original': {}}
diagnostics_Image-original_Hash,50713bf62f529cc259792ff58599223c78011fb7
diagnostics_Image-original_Dimensionality,3D
original_glszm_SmallAreaHighGrayLevelEmphasis,414.8470431442469
original_glszm_SmallAreaLowGrayLevelEmphasis,0.009489156802671681
original_glszm_ZoneEntropy,6.51216757346459
original_glszm_ZonePercentage,0.3310446297204512
original_glszm_ZoneVariance,308.7995698216736
original_ngtdm_Busyness,0.1284403892256186
original_ngtdm_Coarseness,0.004326030211532009
original_ngtdm_Complexity,1930.1517860494491
original_ngtdm_Contrast,0.25074810909362566
original_ngtdm_Strength,5.358104105788916
